"","storm","Ind_Var","NLCD_Class","T_Stat","p_val","R2","N"
"1","al012015","ant_SM","Woody Wetlands",7.6605090962229,1.00431181110654e-12,0.240818207996256,187
"2","al012015","ant_SM","Evergreen Forest",3.23684130816295,0.00180044390070631,0.122572438098268,77
"3","al012015","ant_SM","Cultivated Crops",0.685397927761123,0.494382571886033,0.00380473955822618,125
"4","al012015","ppt_mm","Woody Wetlands",7.20227935971225,1.44662200020254e-11,0.218990200010353,187
"5","al012015","ppt_mm","Evergreen Forest",10.3906889301164,3.54436125516106e-16,0.590088708855524,77
"6","al012015","ppt_mm","Cultivated Crops",11.7228075961732,9.04934583886777e-22,0.527693695408141,125
"7","al012015","yDay","Woody Wetlands",NA,NA,0,187
"8","al012015","yDay","Evergreen Forest",NA,NA,0,77
"9","al012015","yDay","Cultivated Crops",NA,NA,0,125
"10","al012015","Mean_Slope","Woody Wetlands",-0.914944300576796,0.361411870019077,0.00450460628810109,187
"11","al012015","Mean_Slope","Evergreen Forest",-3.09853967239828,0.00273716587283399,0.113485112364411,77
"12","al012015","Mean_Slope","Cultivated Crops",-1.31672262133422,0.190379707215405,0.0138996730549728,125
"13","al012018","ant_SM","Woody Wetlands",0.588556571476506,0.5563304804701,0.000447343512345463,793
"14","al012018","ant_SM","Deciduous Forest",-3.83842117919847,0.000132238178870404,0.0156616911237942,928
"15","al012018","ant_SM","Cultivated Crops",-3.19425675412589,0.00149863559747911,0.0217924066953231,460
"16","al012018","ant_SM","Evergreen Forest",2.98028646878236,0.00292434444449575,0.00566142439505735,1566
"17","al012018","ant_SM","Pasture/Hay",5.39738513813368,1.00614326131955e-07,0.0502157751396224,553
"18","al012018","ant_SM","Mixed Forest",-1.99887843964435,0.0482057041569152,0.0366576094059567,107
"19","al012018","ant_SM","Developed, Open Space",1.43468342638995,0.154406707269434,0.0195921332252901,105
"20","al012018","ant_SM","Emergent Herbaceous Wetlands",-1.55469370990191,0.122840321931341,0.0211251037815254,114
"21","al012018","ant_SM","Developed, Low Intensity",0.961635365830237,0.33928243783177,0.0120213931933802,78
"22","al012018","ppt_mm","Woody Wetlands",15.1659784350373,1.11227808099997e-45,0.229088964885177,793
"23","al012018","ppt_mm","Deciduous Forest",19.1037544217666,7.6026364220875e-69,0.282700695219532,928
"24","al012018","ppt_mm","Cultivated Crops",6.36785472505553,4.66696254514944e-10,0.0813350886861392,460
"25","al012018","ppt_mm","Evergreen Forest",28.1015487836104,6.15834506577615e-141,0.336084622501225,1566
"26","al012018","ppt_mm","Pasture/Hay",18.5647066812161,4.08017961166363e-60,0.384803187830389,553
"27","al012018","ppt_mm","Mixed Forest",4.78539947734786,5.60509765887991e-06,0.179046438900066,107
"28","al012018","ppt_mm","Developed, Open Space",-0.381759727676066,0.703426046136563,0.00141295693824499,105
"29","al012018","ppt_mm","Emergent Herbaceous Wetlands",1.10713893452707,0.27060602966324,0.0108257754854824,114
"30","al012018","ppt_mm","Developed, Low Intensity",3.38236555765722,0.00113826122436213,0.130836514800939,78
"31","al012018","yDay","Woody Wetlands",NA,NA,0,793
"32","al012018","yDay","Deciduous Forest",NA,NA,0,928
"33","al012018","yDay","Cultivated Crops",NA,NA,0,460
"34","al012018","yDay","Evergreen Forest",NA,NA,0,1566
"35","al012018","yDay","Pasture/Hay",NA,NA,0,553
"36","al012018","yDay","Mixed Forest",NA,NA,0,107
"37","al012018","yDay","Developed, Open Space",NA,NA,0,105
"38","al012018","yDay","Emergent Herbaceous Wetlands",NA,NA,0,114
"39","al012018","yDay","Developed, Low Intensity",NA,NA,0,78
"40","al012018","Mean_Slope","Woody Wetlands",1.61061628572224,0.107671091882522,0.00334033553762583,793
"41","al012018","Mean_Slope","Deciduous Forest",-0.147040551454661,0.883132019479928,2.3348184625021e-05,928
"42","al012018","Mean_Slope","Cultivated Crops",6.51671817093011,1.89835426150279e-10,0.0848558715598235,460
"43","al012018","Mean_Slope","Evergreen Forest",8.42264818354688,8.23221409588641e-17,0.0434969764806804,1566
"44","al012018","Mean_Slope","Pasture/Hay",4.06129551061446,5.58811589388157e-05,0.0290648318769298,553
"45","al012018","Mean_Slope","Mixed Forest",0.89623178125422,0.372179137042435,0.00759174738860205,107
"46","al012018","Mean_Slope","Developed, Open Space",4.35646223428249,3.13198782214903e-05,0.15559071678575,105
"47","al012018","Mean_Slope","Emergent Herbaceous Wetlands",NA,NA,0,114
"48","al012018","Mean_Slope","Developed, Low Intensity",1.75527809660231,0.083241386634217,0.0389600681554298,78
"49","al022015","ant_SM","Shrub/Scrub",0.371416131520563,0.710421161552714,0.000164003945801155,843
"50","al022015","ant_SM","Cultivated Crops",0.640842074850933,0.522041096140507,0.00116204345201704,355
"51","al022015","ant_SM","Evergreen Forest",-5.54147560627109,4.06673887652374e-08,0.0367888574982261,806
"52","al022015","ant_SM","Pasture/Hay",4.11762342086495,4.08094081569605e-05,0.0134673797114933,1244
"53","al022015","ant_SM","Developed, Medium Intensity",1.44326331651051,0.154618067743982,0.0364908759584883,57
