"","ID","Name","start","end","maxIntensity","maxSS","landfall"
"1","al012015","ANA",2015-05-06 06:00:00,2015-05-12 18:00:00,50,0,"YES"
"2","al022015","BILL",2015-06-16 00:00:00,2015-06-21 00:00:00,50,0,"YES"
"3","al032015","CLAUDETTE",2015-07-12 00:00:00,2015-07-15 12:00:00,45,0,"NO"
"4","al042015","DANNY",2015-08-17 00:00:00,2015-08-24 12:00:00,105,3,"NO"
"5","al052015","ERIKA",2015-08-24 18:00:00,2015-08-28 12:00:00,45,0,"NO"
"6","al062015","FRED",2015-08-30 00:00:00,2015-09-06 12:00:00,75,1,"NO"
"7","al072015","GRACE",2015-09-05 06:00:00,2015-09-09 06:00:00,50,0,"NO"
"8","al082015","EIGHT",2015-09-08 06:00:00,2015-09-11 06:00:00,45,0,"NO"
"9","al092015","NINE",2015-09-15 00:00:00,2015-09-19 12:00:00,30,0,"NO"
"10","al102015","IDA",2015-09-15 12:00:00,2015-09-28 00:00:00,45,0,"NO"
"11","al112015","JOAQUIN",2015-09-26 18:00:00,2015-10-15 00:00:00,135,4,"NO"
"12","al122015","KATE",2015-11-08 18:00:00,2015-11-13 12:00:00,70,1,"NO"
"13","al012016","ALEX",2016-01-07 00:00:00,2016-01-17 00:00:00,75,1,"NO"
"14","al022016","TWO",2016-05-27 06:00:00,2016-06-09 18:00:00,40,0,"YES"
"15","al032016","COLIN",2016-06-05 12:00:00,2016-06-08 18:00:00,50,0,"YES"
"16","al042016","DANIELLE",2016-06-18 18:00:00,2016-06-21 06:00:00,40,0,"NO"
"17","al052016","EARL",2016-08-02 06:00:00,2016-08-06 12:00:00,75,1,"NO"
"18","al062016","FIONA",2016-08-16 18:00:00,2016-08-24 06:00:00,45,0,"NO"
"19","al072016","GASTON",2016-08-21 12:00:00,2016-09-03 12:00:00,105,3,"NO"
"20","al082016","EIGHT",2016-08-27 00:00:00,2016-09-01 00:00:00,30,0,"NO"
"21","al092016","HERMINE",2016-08-28 18:00:00,2016-09-08 18:00:00,70,1,"YES"
"22","al102016","IAN",2016-09-12 00:00:00,2016-09-17 00:00:00,55,0,"NO"
"23","al112016","INVEST",2016-09-13 06:00:00,2016-09-21 06:00:00,45,0,"YES"
"24","al122016","KARL",2016-09-12 18:00:00,2016-09-26 00:00:00,60,0,"NO"
"25","al132016","LISA",2016-09-19 06:00:00,2016-09-26 12:00:00,45,0,"NO"
"26","al142016","MATTHEW",2016-09-28 12:00:00,2016-10-10 00:00:00,145,5,"NO"
"27","al152016","NICOLE",2016-10-04 06:00:00,2016-10-19 12:00:00,120,4,"NO"
"28","ep222016","OTTO",2016-11-17 18:00:00,2016-11-26 12:00:00,100,3,"NO"
"29","al012017","INVEST",2017-04-16 06:00:00,2017-04-22 18:00:00,55,0,"NO"
"30","al022017","BRET",2017-06-18 18:00:00,2017-06-20 09:00:00,45,0,"NO"
"31","al032017","CINDY",2017-06-19 18:00:00,2017-06-24 06:00:00,50,0,"YES"
"32","al042017","INVEST",2017-07-05 12:00:00,2017-07-07 12:00:00,25,0,"NO"
"33","al052017","DON",2017-07-17 00:00:00,2017-07-18 12:00:00,45,0,"NO"
"34","al062017","EMILY",2017-07-30 18:00:00,2017-08-02 00:00:00,50,0,"YES"
"35","al072017","FRANKLIN",2017-08-06 18:00:00,2017-08-10 12:00:00,75,1,"NO"
"36","al082017","GERT",2017-08-12 00:00:00,2017-08-18 18:00:00,95,2,"NO"
"37","al092017","HARVEY",2017-08-16 06:00:00,2017-09-02 12:00:00,115,4,"YES"
"38","al112017","IRMA",2017-08-30 00:00:00,2017-09-13 12:00:00,155,5,"YES"
"39","al122017","JOSE",2017-09-04 06:00:00,2017-09-25 06:00:00,135,4,"NO"
"40","al132017","KATIA",2017-09-05 12:00:00,2017-09-09 12:00:00,90,2,"NO"
"41","al142017","LEE",2017-09-14 18:00:00,2017-09-30 06:00:00,100,3,"NO"
"42","al152017","MARIA",2017-09-16 12:00:00,2017-10-02 12:00:00,150,5,"YES"
"43","al162017","NATE",2017-10-03 12:00:00,2017-10-11 00:00:00,80,1,"YES"
"44","al172017","OPHELIA",2017-10-06 12:00:00,2017-10-17 18:00:00,100,3,"NO"
"45","al182017","PHILIPPE",2017-10-27 18:00:00,2017-10-29 00:00:00,35,0,"NO"
"46","AL192017","RINA",2017-11-05 18:00:00,2017-11-09 12:00:00,50,0,"NO"
"47","AL012018","ALBERTO",2018-05-25 12:00:00,2018-05-31 12:00:00,55,0,"YES"
"48","AL022018","BERYL",2018-07-04 12:00:00,2018-07-17 06:00:00,70,1,"NO"
"49","AL032018","CHRIS",2018-07-05 06:00:00,2018-07-17 12:00:00,90,2,"NO"
"50","AL042018","DEBBY",2018-08-02 18:00:00,2018-08-10 12:00:00,45,0,"NO"
"51","AL052018","ERNESTO",2018-08-15 00:00:00,2018-08-19 06:00:00,40,0,"NO"
"52","AL062018","FLORENCE",2018-08-30 06:00:00,2018-09-17 18:00:00,130,4,"YES"
"53","AL072018","GORDON",2018-09-02 18:00:00,2018-09-07 18:00:00,60,0,"YES"
"54","AL082018","HELENE",2018-09-07 12:00:00,2018-09-17 18:00:00,95,2,"NO"
"55","AL092018","ISAAC",2018-09-07 12:00:00,2018-09-15 00:00:00,65,1,"NO"
"56","AL102018","GENESIS024",2018-09-12 00:00:00,2018-09-21 12:00:00,45,0,"NO"
"57","AL112018","INVEST",2018-09-21 18:00:00,2018-09-22 18:00:00,30,0,"NO"
"58","AL122018","KIRK",2018-09-22 06:00:00,2018-09-28 12:00:00,55,0,"NO"
"59","AL132018","LESLIE",2018-09-22 00:00:00,2018-10-14 00:00:00,80,1,"NO"
"60","AL142018","MICHAEL",2018-10-06 18:00:00,2018-10-15 06:00:00,135,4,"YES"
"61","AL152018","NADINE",2018-10-08 12:00:00,2018-10-12 18:00:00,55,0,"NO"
"62","AL162018","OSCAR",2018-10-26 18:00:00,2018-11-04 12:00:00,95,2,"NO"
"63","AL012019","ANDREA",2019-05-20 18:00:00,2019-05-22 06:00:00,35,0,"NO"
"64","AL022019","BARRY",2019-07-10 12:00:00,2019-07-16 06:00:00,65,1,"YES"
"65","AL032019","THREE",2019-07-22 12:00:00,2019-07-23 12:00:00,30,0,"NO"
"66","AL042019","CHANTAL",2019-08-20 18:00:00,2019-08-26 18:00:00,35,0,"NO"
"67","AL052019","DORIAN",2019-08-24 06:00:00,2019-09-07 18:00:00,160,5,"NO"
"68","AL062019","SIX",2019-08-26 12:00:00,2019-08-29 18:00:00,35,0,"NO"
"69","AL072019","FERNAND",2019-09-03 06:00:00,2019-09-04 18:00:00,45,0,"NO"
"70","AL082019","GABRIELLE",2019-09-03 00:00:00,2019-09-11 12:00:00,55,0,"NO"
"71","AL092019","HUMBERTO",2019-09-12 12:00:00,2019-09-20 12:00:00,110,3,"NO"
"72","AL102019","JERRY",2019-09-17 00:00:00,2019-09-28 00:00:00,90,2,"NO"
"73","AL112019","IMELDA",2019-09-17 12:00:00,2019-09-18 18:00:00,40,0,"YES"
"74","AL122019","KAREN",2019-09-22 00:00:00,2019-09-27 12:00:00,40,0,"YES"
"75","AL132019","LORENZO",2019-09-22 18:00:00,2019-10-04 06:00:00,140,5,"NO"
"76","AL142019","INVEST",2019-10-11 06:00:00,2019-10-14 18:00:00,55,0,"NO"
"77","AL152019","INVEST",2019-10-14 12:00:00,2019-10-17 12:00:00,30,0,"NO"
"78","AL162019","SIXTEEN",2019-10-17 12:00:00,2019-10-21 00:00:00,50,0,"YES"
"79","AL172019","OLGA",2019-10-25 12:00:00,2019-10-27 18:00:00,45,0,"YES"
"80","AL182019","PABLO",2019-10-23 18:00:00,2019-10-29 00:00:00,70,1,"NO"
"81","AL192019","GENESIS039",2019-10-27 00:00:00,2019-11-01 12:00:00,70,0,"NO"
"82","AL202019","SEBASTIEN",2019-11-19 06:00:00,2019-11-27 12:00:00,60,0,"NO"
