"","Cell_ID","Pixel_Count"
"1","x-75.4823684692383y35.292121887207",3
"2","x-75.4823684692383y35.378288269043",3
"3","x-75.4823684692383y35.4645500183105",3
"4","x-75.4823684692383y35.5508995056152",3
"5","x-75.4823684692383y35.6373405456543",4
"6","x-75.4823684692383y35.7238731384277",3
"7","x-75.5757293701172y35.2060432434082",14
"8","x-75.5757293701172y35.292121887207",3
"9","x-75.5757293701172y35.7238731384277",2
"10","x-75.5757293701172y35.8105010986328",3
"11","x-75.5757293701172y35.8972206115723",2
"12","x-75.5757293701172y35.9840316772461",3
"13","x-75.5757293701172y37.5632247924805",1
"14","x-75.6690902709961y35.2060432434082",10
"15","x-75.6690902709961y35.8105010986328",2
"16","x-75.6690902709961y35.8972206115723",2
"17","x-75.6690902709961y35.9840316772461",2
"18","x-75.6690902709961y36.0709381103516",2
"19","x-75.6690902709961y37.386157989502",1
"20","x-75.6690902709961y37.4746398925781",1
"21","x-75.6690902709961y37.5632247924805",1
"22","x-75.6690902709961y37.8296012878418",1
"23","x-75.762451171875y35.2060432434082",6
"24","x-75.762451171875y35.5508995056152",3
"25","x-75.762451171875y35.6373405456543",3
"26","x-75.762451171875y35.7238731384277",3
"27","x-75.762451171875y35.8105010986328",3
"28","x-75.762451171875y35.8972206115723",3
"29","x-75.762451171875y35.9840316772461",2
"30","x-75.762451171875y36.0709381103516",2
"31","x-75.762451171875y36.2450332641602",1
"32","x-75.762451171875y36.3322257995605",1
"33","x-75.762451171875y37.2095031738281",1
"34","x-75.762451171875y37.297779083252",1
"35","x-75.762451171875y37.386157989502",1
"36","x-75.762451171875y37.4746398925781",1
"37","x-75.762451171875y37.5632247924805",2
"38","x-75.762451171875y37.651912689209",1
"39","x-75.762451171875y37.7407035827637",1
"40","x-75.762451171875y37.8296012878418",1
"41","x-75.8558120727539y35.1200523376465",10
"42","x-75.8558120727539y35.5508995056152",3
"43","x-75.8558120727539y35.6373405456543",4
"44","x-75.8558120727539y35.7238731384277",3
"45","x-75.8558120727539y35.8105010986328",3
"46","x-75.8558120727539y35.8972206115723",3
"47","x-75.8558120727539y35.9840316772461",3
"48","x-75.8558120727539y36.0709381103516",1
"49","x-75.8558120727539y36.1579399108887",1
"50","x-75.8558120727539y36.2450332641602",1
"51","x-75.8558120727539y36.3322257995605",1
"52","x-75.8558120727539y36.4195137023926",2
"53","x-75.8558120727539y36.5068969726562",2
"54","x-75.8558120727539y36.5943756103516",1
"55","x-75.8558120727539y37.1213302612305",1
"56","x-75.8558120727539y37.2095031738281",1
"57","x-75.8558120727539y37.297779083252",1
"58","x-75.8558120727539y37.386157989502",1
"59","x-75.8558120727539y37.4746398925781",1
"60","x-75.8558120727539y37.5632247924805",2
"61","x-75.8558120727539y37.651912689209",1
"62","x-75.8558120727539y37.7407035827637",1
"63","x-75.9491729736328y35.1200523376465",18
"64","x-75.9491729736328y35.4645500183105",2
"65","x-75.9491729736328y35.5508995056152",4
"66","x-75.9491729736328y35.6373405456543",4
"67","x-75.9491729736328y35.7238731384277",3
"68","x-75.9491729736328y35.8105010986328",3
"69","x-75.9491729736328y35.8972206115723",3
"70","x-75.9491729736328y35.9840316772461",3
"71","x-75.9491729736328y36.1579399108887",2
"72","x-75.9491729736328y36.2450332641602",1
"73","x-75.9491729736328y36.3322257995605",1
"74","x-75.9491729736328y36.4195137023926",1
"75","x-75.9491729736328y36.5068969726562",2
"76","x-75.9491729736328y36.5943756103516",1
"77","x-75.9491729736328y36.6819534301758",1
"78","x-75.9491729736328y36.7696304321289",1
"79","x-75.9491729736328y36.8574066162109",1
"80","x-75.9491729736328y36.9452819824219",2
"81","x-75.9491729736328y37.1213302612305",1
"82","x-75.9491729736328y37.2095031738281",1
"83","x-75.9491729736328y37.297779083252",1
"84","x-75.9491729736328y37.386157989502",1
"85","x-75.9491729736328y37.4746398925781",2
"86","x-75.9491729736328y37.5632247924805",1
"87","x-75.9491729736328y37.651912689209",1
"88","x-76.0425338745117y35.0341529846191",8
"89","x-76.0425338745117y35.1200523376465",5
"90","x-76.0425338745117y35.378288269043",4
"91","x-76.0425338745117y35.4645500183105",3
"92","x-76.0425338745117y35.5508995056152",3
"93","x-76.0425338745117y35.6373405456543",4
"94","x-76.0425338745117y35.7238731384277",3
"95","x-76.0425338745117y35.8105010986328",3
"96","x-76.0425338745117y35.8972206115723",3
"97","x-76.0425338745117y35.9840316772461",2
"98","x-76.0425338745117y36.1579399108887",2
"99","x-76.0425338745117y36.2450332641602",1
"100","x-76.0425338745117y36.3322257995605",1
"101","x-76.0425338745117y36.4195137023926",1
"102","x-76.0425338745117y36.5068969726562",1
"103","x-76.0425338745117y36.5943756103516",1
"104","x-76.0425338745117y36.6819534301758",1
"105","x-76.0425338745117y36.7696304321289",1
"106","x-76.0425338745117y36.8574066162109",1
"107","x-76.0425338745117y36.9452819824219",2
"108","x-76.0425338745117y37.2095031738281",1
"109","x-76.0425338745117y37.297779083252",1
"110","x-76.1358947753906y34.9483413696289",3
"111","x-76.1358947753906y35.0341529846191",4
"112","x-76.1358947753906y35.378288269043",4
"113","x-76.1358947753906y35.4645500183105",4
"114","x-76.1358947753906y35.5508995056152",4
"115","x-76.1358947753906y35.6373405456543",4
"116","x-76.1358947753906y35.7238731384277",3
"117","x-76.1358947753906y35.8105010986328",3
"118","x-76.1358947753906y35.8972206115723",2
"119","x-76.1358947753906y35.9840316772461",2
"120","x-76.1358947753906y36.1579399108887",2
"121","x-76.1358947753906y36.2450332641602",2
"122","x-76.1358947753906y36.3322257995605",1
"123","x-76.1358947753906y36.4195137023926",1
"124","x-76.1358947753906y36.5068969726562",1
"125","x-76.1358947753906y36.5943756103516",1
