OID_,CELL_ID,ZONE_CODE,COUNT,AREA,MEAN
1,x-99.8495864868164y27.7754726409912,1,84285.000000000000000,80590763.340849816799164,1.764967211597203
2,x-99.8495864868164y27.855073928833,2,84566.000000000000000,80859447.027137741446495,1.891333605383964
3,x-99.8495864868164y27.9347343444824,3,84570.000000000000000,80863271.705946117639542,2.226648052237684
4,x-99.8495864868164y28.0144519805908,4,84574.000000000000000,80867096.384754493832588,1.943527492235904
5,x-99.8495864868164y28.0942268371582,5,84565.000000000000000,80858490.857435658574104,1.085791734200448
6,x-99.8495864868164y28.1740608215332,6,84567.000000000000000,80860403.196839839220047,1.008930331488536
7,x-99.8495864868164y28.2539520263672,7,84570.000000000000000,80863271.705946117639542,0.842243539284673
8,x-99.8495864868164y28.3339023590088,8,84571.000000000000000,80864227.875648215413094,0.778239943280635
9,x-99.8495864868164y28.413911819458,9,84566.000000000000000,80859447.027137741446495,0.797146596295865
10,x-99.8495864868164y28.4939804077148,10,84568.000000000000000,80861359.366541936993599,0.887119577437201
11,x-99.8495864868164y28.5741100311279,11,84563.000000000000000,80856578.518031477928162,0.800908653898018
12,x-99.8495864868164y28.654296875,12,84569.000000000000000,80862315.536244019865990,0.528563581345935
13,x-99.8495864868164y28.7345447540283,13,84567.000000000000000,80860403.196839839220047,0.868692886316119
14,x-99.8495864868164y28.8148536682129,14,84566.000000000000000,80859447.027137741446495,0.790047359723354
15,x-99.8495864868164y28.8952236175537,15,84566.000000000000000,80859447.027137741446495,0.381518327958887
16,x-99.8495864868164y28.9756526947021,16,84564.000000000000000,80857534.687733560800552,0.326453045289085
17,x-99.8495864868164y29.0561447143555,17,84569.000000000000000,80862315.536244019865990,0.917991086406578
18,x-99.8495864868164y29.136697769165,18,84559.000000000000000,80852753.839223101735115,1.168136910048591
19,x-99.8495864868164y29.2173118591309,19,84562.000000000000000,80855622.348329380154610,0.593099224377789
20,x-99.8495864868164y29.2979888916016,20,84567.000000000000000,80860403.196839839220047,1.548523199594641
21,x-99.8495864868164y29.3787288665771,21,84566.000000000000000,80859447.027137741446495,5.974343589533130
22,x-99.8495864868164y29.4595317840576,22,84568.000000000000000,80861359.366541936993599,7.296199523023335
23,x-99.8495864868164y29.540397644043,23,84564.000000000000000,80857534.687733560800552,8.946036843967075
24,x-99.8495864868164y29.6213264465332,24,84558.000000000000000,80851797.669521003961563,11.650456172184592
25,x-99.8495864868164y29.7023181915283,25,84567.000000000000000,80860403.196839839220047,13.095799763830435
26,x-99.8495864868164y29.783374786377,26,84560.000000000000000,80853710.008925199508667,10.691344164909811
27,x-99.8495864868164y29.8644962310791,27,84564.000000000000000,80857534.687733560800552,10.548599087002664
28,x-99.8495864868164y29.9456825256348,28,84561.000000000000000,80854666.178627282381058,5.145157330485678
29,x-99.8495864868164y30.0269336700439,29,84559.000000000000000,80852753.839223101735115,2.889571062496203
30,x-99.8495864868164y30.1082496643066,30,84569.000000000000000,80862315.536244019865990,3.042412760396791
31,x-99.8495864868164y30.1896305084229,31,84554.000000000000000,80847972.990712642669678,3.718306100118244
32,x-99.8495864868164y30.2710781097412,32,84564.000000000000000,80857534.687733560800552,4.481499757434666
33,x-99.8495864868164y30.3525924682617,33,84559.000000000000000,80852753.839223101735115,5.021802082306538
34,x-99.8495864868164y30.4341716766357,34,84556.000000000000000,80849885.330116823315620,5.803958537784595
35,x-99.8495864868164y30.5158195495605,35,84562.000000000000000,80855622.348329380154610,5.599002392457948
36,x-99.8495864868164y30.5975341796875,36,84563.000000000000000,80856578.518031477928162,4.457611616084679
37,x-99.8495864868164y30.6793174743652,37,84555.000000000000000,80848929.160414725542068,2.832523620503072
38,x-99.8495864868164y30.8430862426758,38,84565.000000000000000,80858490.857435658574104,1.681805486898621
39,x-99.8495864868164y30.9250736236572,39,84552.000000000000000,80846060.651308462023735,2.082195155115398
40,x-99.8495864868164y31.0071296691895,40,84556.000000000000000,80849885.330116823315620,1.879870312796619
41,x-99.8495864868164y31.0892543792725,41,84562.000000000000000,80855622.348329380154610,1.472768027810229
42,x-99.8495864868164y31.1714496612549,42,84553.000000000000000,80847016.821010544896126,0.949481795963225
43,x-99.8495864868164y31.3360500335693,43,84561.000000000000000,80854666.178627282381058,1.835251335130272
44,x-99.8495864868164y31.4184551239014,44,84551.000000000000000,80845104.481606364250183,1.114478969700463
45,x-99.8495864868164y31.5009326934814,45,84558.000000000000000,80851797.669521003961563,1.361949225245322
46,x-99.8495864868164y31.5834808349609,46,84559.000000000000000,80852753.839223101735115,1.586627641661737
47,x-99.8495864868164y31.6661014556885,47,84551.000000000000000,80845104.481606364250183,2.049925724151683
48,x-99.8495864868164y31.8315582275391,48,84551.000000000000000,80845104.481606364250183,1.109783427754736
49,x-99.8495864868164y31.9143962860107,49,84558.000000000000000,80851797.669521003961563,1.014014886953838
50,x-99.8495864868164y31.9973068237305,50,84550.000000000000000,80844148.311904266476631,1.667215723334012
51,x-99.8495864868164y32.0802917480469,51,84555.000000000000000,80848929.160414725542068,2.102356191869189
52,x-99.8495864868164y32.1633491516113,52,84549.000000000000000,80843192.142202183604240,2.400772288669479
53,x-99.7562255859375y32.0802917480469,53,84860.000000000000000,81140560.919552892446518,1.481247879275796
54,x-99.8495864868164y30.7611675262451,54,84558.000000000000000,80851797.669521003961563,1.764981140529979
55,x-99.8495864868164y31.2537136077881,55,84556.000000000000000,80849885.330116823315620,1.412231396379636
56,x-99.8495864868164y31.7487945556641,56,84557.000000000000000,80850841.499818921089172,1.470973425964982
57,x-99.8495864868164y32.2464828491211,57,84556.000000000000000,80849885.330116823315620,2.341742824729444
58,x-99.8495864868164y32.3296890258789,58,84549.000000000000000,80843192.142202183604240,2.713373212378931
59,x-99.8495864868164y32.412971496582,59,84555.000000000000000,80848929.160414725542068,0.724230316162302
60,x-99.8495864868164y32.4963302612305,60,84550.000000000000000,80844148.311904266476631,1.140265687993019
61,x-99.8495864868164y32.5797653198242,61,84549.000000000000000,80843192.142202183604240,0.660525815065803
62,x-99.8495864868164y32.663272857666,62,84549.000000000000000,80843192.142202183604240,0.764117890878970
63,x-99.8495864868164y32.7468605041504,63,84550.000000000000000,80844148.311904266476631,0.681667290777252
64,x-99.8495864868164y32.8305244445801,64,84552.000000000000000,80846060.651308462023735,0.486473490198210
