OBJECTID,Cell_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,x-99.8495864868164y27.7754726409912,1,32914,29622600.000000000000000,11,95,84,53.553776508476638,10.378182373038639,1762669.000000000000000,12,52,42,52
2,x-99.8495864868164y27.855073928833,2,81363,73226700.000000000000000,11,95,84,52.474134434570999,7.393965542733241,4269453.000000000000000,11,52,24,52
3,x-99.8495864868164y27.9347343444824,3,89904,80913600.000000000000000,11,95,84,52.413919291688913,7.118661433237821,4712221.000000000000000,13,52,42,52
4,x-99.8495864868164y28.0144519805908,4,90155,81139500.000000000000000,11,95,84,51.654750152515113,4.977961249376124,4656934.000000000000000,12,52,42,52
5,x-99.8495864868164y28.0942268371582,5,90164,81147600.000000000000000,11,95,84,52.627234816556495,5.812052085943399,4745082.000000000000000,10,52,24,52
6,x-99.8495864868164y28.1740608215332,6,90168,81151200.000000000000000,11,95,84,53.671490994587877,7.706127184255153,4839451.000000000000000,9,52,24,52
7,x-99.8495864868164y28.2539520263672,7,90157,81141300.000000000000000,11,95,84,54.341604090641880,9.386340574995257,4899276.000000000000000,10,52,90,52
8,x-99.8495864868164y28.3339023590088,8,90158,81142200.000000000000000,11,95,84,53.853867654561988,9.638062697476725,4855357.000000000000000,10,52,31,52
9,x-99.8495864868164y28.413911819458,9,90166,81149400.000000000000000,11,95,84,54.044972606082112,10.306092510942916,4873019.000000000000000,13,52,41,52
10,x-99.8495864868164y28.4939804077148,10,90163,81146700.000000000000000,11,95,84,50.233865332786173,14.665748454069908,4529236.000000000000000,12,52,11,52
11,x-99.8495864868164y28.5741100311279,11,90155,81139500.000000000000000,11,95,84,52.868293494537184,11.803556387672892,4766341.000000000000000,14,52,41,52
12,x-99.8495864868164y28.654296875,12,90168,81151200.000000000000000,11,95,84,59.544472540147282,20.654775489520901,5369006.000000000000000,14,52,41,52
13,x-99.8495864868164y28.7345447540283,13,90160,81144000.000000000000000,11,95,84,56.480401508429459,15.459403633657942,5092273.000000000000000,14,52,24,52
14,x-99.8495864868164y28.8148536682129,14,90158,81142200.000000000000000,11,95,84,54.417855320659285,11.607579355529635,4906205.000000000000000,15,52,24,52
15,x-99.8495864868164y28.8952236175537,15,90157,81141300.000000000000000,11,95,84,56.979435872977142,12.934795609315078,5137095.000000000000000,13,52,24,52
16,x-99.8495864868164y28.9756526947021,16,90165,81148500.000000000000000,11,95,84,68.537337104197860,19.142719631952623,6179669.000000000000000,15,82,95,82
17,x-99.8495864868164y29.0561447143555,17,90166,81149400.000000000000000,11,95,84,54.892975179114082,10.452373128312477,4949480.000000000000000,15,52,24,52
18,x-99.8495864868164y29.136697769165,18,90155,81139500.000000000000000,11,95,84,52.050978869724361,8.968714658008059,4692656.000000000000000,15,52,95,52
19,x-99.8495864868164y29.2173118591309,19,90157,81141300.000000000000000,11,95,84,63.344709784043388,18.085438913520832,5710969.000000000000000,15,52,95,52
20,x-99.8495864868164y29.2979888916016,20,90166,81149400.000000000000000,11,82,71,55.228689306390436,10.415780409533864,4979750.000000000000000,11,52,23,52
21,x-99.8495864868164y29.3787288665771,21,90161,81144900.000000000000000,11,71,60,51.436740941205180,3.247241180068300,4637588.000000000000000,6,52,11,52
22,x-99.8495864868164y29.4595317840576,22,90162,81145800.000000000000000,11,71,60,49.795079967170203,4.364396519874399,4489624.000000000000000,6,52,43,52
23,x-99.8495864868164y29.540397644043,23,90161,81144900.000000000000000,11,95,84,46.901709164716451,5.814971967908669,4228705.000000000000000,11,52,95,52
24,x-99.8495864868164y29.6213264465332,24,90159,81143100.000000000000000,11,95,84,46.221098281924156,5.486703224661848,4167248.000000000000000,9,42,95,42
25,x-99.8495864868164y29.7023181915283,25,90162,81145800.000000000000000,11,95,84,44.933619484927128,4.948531390023804,4051305.000000000000000,12,42,95,42
26,x-99.8495864868164y29.783374786377,26,90163,81146700.000000000000000,21,71,50,46.602020784579040,5.578184074677774,4201778.000000000000000,8,52,43,42
27,x-99.8495864868164y29.8644962310791,27,90163,81146700.000000000000000,11,90,79,48.304093696971044,5.011759691164732,4355242.000000000000000,10,52,11,52
28,x-99.8495864868164y29.9456825256348,28,90159,81143100.000000000000000,21,52,31,50.576692288068855,3.979560826382717,4559944.000000000000000,6,52,43,52
29,x-99.8495864868164y30.0269336700439,29,90161,81144900.000000000000000,21,52,31,50.925677399319000,4.268839372487751,4591510.000000000000000,7,52,24,52
30,x-99.8495864868164y30.1082496643066,30,90161,81144900.000000000000000,21,52,31,51.872993866527658,1.148835937903304,4676921.000000000000000,6,52,21,52
31,x-99.8495864868164y30.1896305084229,31,90163,81146700.000000000000000,22,52,30,50.810132759557689,3.330776234600084,4581194.000000000000000,7,52,22,52
32,x-99.8495864868164y30.2710781097412,32,90161,81144900.000000000000000,11,90,79,50.074222779250455,4.607380071424657,4514742.000000000000000,8,52,90,52
33,x-99.8495864868164y30.3525924682617,33,90157,81141300.000000000000000,11,95,84,50.182903157824683,5.648559943232932,4524340.000000000000000,12,52,95,52
34,x-99.8495864868164y30.4341716766357,34,90162,81145800.000000000000000,11,95,84,51.126904904505224,8.152891696892441,4609704.000000000000000,12,52,31,52
35,x-99.8495864868164y30.5158195495605,35,90160,81144000.000000000000000,11,90,79,50.202251552795033,7.338515089232516,4526235.000000000000000,13,52,24,52
36,x-99.8495864868164y30.5975341796875,36,90156,81140400.000000000000000,11,90,79,51.003249922356801,4.134174363007310,4598249.000000000000000,10,52,71,52
37,x-99.8495864868164y30.6793174743652,37,90170,81153000.000000000000000,11,52,41,51.686414550293890,2.937274566111059,4660564.000000000000000,6,52,11,52
38,x-99.8495864868164y30.8430862426758,38,90161,81144900.000000000000000,11,52,41,51.812502079613139,2.365986022754792,4671467.000000000000000,7,52,11,52
39,x-99.8495864868164y30.9250736236572,39,90162,81145800.000000000000000,11,95,84,52.097613185155609,6.198363505630134,4697225.000000000000000,13,52,24,52
40,x-99.8495864868164y31.0071296691895,40,90163,81146700.000000000000000,11,52,41,51.852777746969380,2.098755698581777,4675202.000000000000000,8,52,24,52
