"","Cell_ID","Dom_LC","modeCells","pctMode"
"1","x-99.8495864868164y27.7754726409912",52,33064,92
"2","x-99.8495864868164y27.855073928833",52,82366,95.8
"3","x-99.8495864868164y27.9347343444824",52,90914,95.5
"4","x-99.8495864868164y28.0144519805908",52,92861,97.2
"5","x-99.8495864868164y28.0942268371582",52,89206,93.4
"6","x-99.8495864868164y28.1740608215332",52,82766,86.6
"7","x-99.8495864868164y28.2539520263672",52,76049,79.6
"8","x-99.8495864868164y28.3339023590088",52,78724,82.4
"9","x-99.8495864868164y28.413911819458",52,79787,83.3
"10","x-99.8495864868164y28.4939804077148",52,69579,72.9
"11","x-99.8495864868164y28.5741100311279",52,80220,84.1
"12","x-99.8495864868164y28.654296875",52,51860,54.2
"13","x-99.8495864868164y28.7345447540283",52,65563,68.5
"14","x-99.8495864868164y28.8148536682129",52,82219,85.7
"15","x-99.8495864868164y28.8952236175537",52,75032,78.3
"16","x-99.8495864868164y28.9756526947021",82,57109,59.8
"17","x-99.8495864868164y29.0561447143555",52,77772,81.5
"18","x-99.8495864868164y29.136697769165",52,84628,88.4
"19","x-99.8495864868164y29.2173118591309",52,45731,47.8
"20","x-99.8495864868164y29.2979888916016",52,81808,85.6
"21","x-99.8495864868164y29.3787288665771",52,87690,91.8
"22","x-99.8495864868164y29.4595317840576",52,74261,77.5
"23","x-99.8495864868164y29.540397644043",52,47894,50.2
"24","x-99.8495864868164y29.6213264465332",42,53122,55.6
"25","x-99.8495864868164y29.7023181915283",42,60133,62.8
"26","x-99.8495864868164y29.783374786377",52,46423,48.6
"27","x-99.8495864868164y29.8644962310791",52,61431,64.2
"28","x-99.8495864868164y29.9456825256348",52,82935,86.8
"29","x-99.8495864868164y30.0269336700439",52,88052,92
"30","x-99.8495864868164y30.1082496643066",52,94144,98.7
"31","x-99.8495864868164y30.1896305084229",52,84733,88.7
"32","x-99.8495864868164y30.2710781097412",52,79719,83.3
"33","x-99.8495864868164y30.3525924682617",52,79578,83.5
"34","x-99.8495864868164y30.4341716766357",52,76377,80
"35","x-99.8495864868164y30.5158195495605",52,81168,84.8
"36","x-99.8495864868164y30.5975341796875",52,88290,92.7
"37","x-99.8495864868164y30.6793174743652",52,94444,98.6
"38","x-99.8495864868164y30.8430862426758",52,95129,99.3
"39","x-99.8495864868164y30.9250736236572",52,91884,96.1
"40","x-99.8495864868164y31.0071296691895",52,94964,99.5
"41","x-99.8495864868164y31.0892543792725",52,92460,96.7
"42","x-99.8495864868164y31.1714496612549",52,82217,86.1
"43","x-99.8495864868164y31.3360500335693",52,83324,87
"44","x-99.8495864868164y31.4184551239014",52,74403,78.1
"45","x-99.8495864868164y31.5009326934814",52,81049,84.7
"46","x-99.8495864868164y31.5834808349609",52,75643,79.2
"47","x-99.8495864868164y31.6661014556885",52,77246,80.7
"48","x-99.8495864868164y31.8315582275391",52,68886,72
"49","x-99.8495864868164y31.9143962860107",52,51240,53.7
"50","x-99.8495864868164y31.9973068237305",52,47822,50.2
"51","x-99.8495864868164y32.0802917480469",71,41659,43.6
"52","x-99.8495864868164y32.1633491516113",52,54693,57.1
