"","x"
"1",231.93755
"2",108.8867
"3",236.43345
"4",112.7899
"5",103.4118
"6",141.8102
"7",163.09055
"8",76.5480499999999
"9",110.7808
"10",256.15745
"11",67.6025
"12",116.34035
"13",166.99455
"14",139.2484
"15",74.27445
"16",99.3582
"17",277.20075
"18",132.56385
"19",296.76835
"20",234.2955
"21",94.2083
"22",128.22385
"23",95.12755
"24",216.57395
"25",108.37305
"26",170.9724
"27",81.7169999999999
"28",83.73295
"29",58.06085
"30",71.18985
"31",86.89425
"32",89.0562
"33",103.8212
"34",120.0618
"35",224.18
"36",69.288
"37",262.14085
"38",93.76345
"39",40.34295
"40",163.68585
"41",117.5779
"42",185.11335
"43",257.0793
"44",94.9364500000001
"45",86.7764
"46",143.54555
"47",130.15095
"48",166.77235
"49",166.1877
"50",116.2392
"51",98.1588
"52",87.8433
"53",103.386
"54",146.92425
"55",106.1783
"56",58.04495
"57",75.16185
"58",78.1529
"59",86.25825
"60",110.8426
"61",133.1912
"62",149.49165
"63",163.3657
"64",144.0844
"65",145.24975
"66",200.2136
"67",106.0569
"68",130.9957
"69",183.75
"70",210.4971
"71",204.72155
"72",212.57
"73",156.502191666667
"74",176.71055
"75",227.97855
"76",287.17175
"77",270.36045
"78",196.5001
"79",288.8608
"80",282.29955
"81",269.82405
"82",290.68765
"83",254.5874
"84",175.9453
"85",319.8734
"86",331.83495
"87",317.54245
"88",280.15215
"89",228.35915
"90",411.57725
"91",307.39365
"92",310.1059
"93",411.685700000001
"94",394.1399
"95",329.693
"96",258.6896
"97",284.311
"98",249.1443
"99",188.5393
"100",421.9431
"101",365.9358
"102",306.81825
"103",343.49465
"104",324.1814
"105",283.7388
"106",281.323
"107",295.09365
"108",396.07345
"109",315.4711
"110",341.89715
"111",316.4658
"112",267.6254
"113",313.618
"114",269.2139
"115",177.88875
"116",199.89295
"117",400.7483
"118",434.26465
"119",406.8697
"120",369.0731
"121",304.797
"122",194.4484
"123",329.2502
"124",323.4768
"125",253.97445
"126",223.27415
"127",214.29865
"128",199.2855
