"","ID","nTrees","mtry","R2","RMSE","nParams","Parameters"
"1","I0001",1000,2,0.837,74.747,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"2","I0002",1000,2,0.837,74.571,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"3","I0003",1000,5,0.881,63.846,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"4","I0004",1000,4,0.873,65.978,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"5","I0005",1000,5,0.88,63.952,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"6","I0006",1000,2,0.836,74.819,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"7","I0007",1000,4,0.873,65.861,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"8","I0008",1000,2,0.839,74.107,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"9","I0009",1000,3,0.861,69.062,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"10","I0010",1000,4,0.872,66.232,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"11","I0011",1000,2,0.837,74.75,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"12","I0012",1000,2,0.837,74.619,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"13","I0013",1000,5,0.882,63.548,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"14","I0014",1000,3,0.864,68.321,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"15","I0015",1000,3,0.86,69.314,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"16","I0016",1000,6,0.885,62.857,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"17","I0017",1000,4,0.871,66.438,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"18","I0018",1000,3,0.859,69.493,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"19","I0019",1000,2,0.836,74.996,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
"20","I0020",1000,3,0.86,69.264,7,"NLCD/NLCD_Purity/Ppt/Ant_SM/Peak_SM/LAI/Mean_Slope"
